time,Flow,Tidal Vol,Lung Vol,Lung Press,
1.154993487,1.29214669,608.6283798,2608.62838,12.38559116,
1.161494168,1.169430405,608.8508713,2608.850871,12.35885207,
1.168859593,1.072807941,609.0659469,2609.065947,12.33671753,
1.177647235,0.992936516,609.2849097,2609.28491,12.31847342,
1.186434877,0.936929946,609.4746445,2609.474644,12.30637443,
1.196613839,0.890709728,609.6690255,2609.669025,12.29749124,
1.207843289,0.854451928,609.8618259,2609.861826,12.2918647,
1.221157476,0.824048033,610.070993,2610.070993,12.28872324,
1.237485378,0.79855006,610.3092811,2610.309281,12.28794048,
1.238046744,0.797846775,610.3172182,2610.317218,12.28795411,
1.238047348,0.797846025,610.3172267,2610.317227,12.28795413,
1.238056501,0.797834628,610.317356,2610.317356,12.28795437,
1.238212845,0.797626756,610.319564,2610.319564,12.28795854,
1.238304798,0.796920884,610.320862,2610.320862,12.28796019,
1.238357139,0.791524588,610.3216007,2610.321601,12.28795293,
1.238435322,0.769390885,610.3227039,2610.322704,12.28791331,
1.238583491,0.667934592,610.3247927,2610.324793,12.28768214,
1.238652094,0.5886685,610.3257582,2610.325758,12.28747348,
1.238749634,0.456993449,610.327128,2610.327128,12.28706326,
1.238849453,0.318851535,610.3285244,2610.328524,12.28653031,
1.238974475,0.150114628,610.3302629,2610.330263,12.28572119,
1.239064055,0.032034109,610.3314995,2610.331499,12.28505101,
1.239094162,-0.007442662,610.3319132,2610.331913,12.28480927,
1.239112482,-0.031486851,610.3321644,2610.332164,12.28465826,
1.239204424,-0.151580016,610.3334189,2610.333419,12.28385558,
1.239748391,-0.860131969,610.3405704,2610.34057,12.27757379,
1.241189743,-2.727654716,610.3558107,2610.355811,12.24907782,
1.242823778,-4.829898968,610.3624794,2610.362479,12.1981978,
1.244457813,-6.919473804,610.3528918,2610.352892,12.13024578,
1.246266164,-9.223182884,610.3179783,2610.317978,12.03792676,
1.24876058,-12.398872,610.21885,2610.21885,11.88554292,
1.251662651,-16.07208205,610.0159062,2610.015906,11.6780735,
1.255180886,-20.32549375,609.6251734,2609.625173,11.39417185,
1.258384685,-23.90155501,609.1188246,2609.118825,11.11638299,
1.261463371,-26.9603407,608.4911154,2608.491115,10.84073988,
1.265932869,-30.26229614,607.3350341,2607.335034,10.44914531,
1.271641392,-32.97531525,605.4720848,2605.472085,10.00161213,
1.278312555,-34.73850311,602.8409029,2602.840903,9.575002345,
1.286036317,-35.74128179,599.3405572,2599.340557,9.200834097,
1.294884061,-36.29860037,594.9268249,2594.926825,8.887881661,
1.305808751,-36.63766341,589.1081751,2589.108175,8.60595652,
1.317510974,-36.75870889,582.6126228,2582.612623,8.378478663,
1.335148803,-36.26027887,572.5819441,2572.581944,8.129691192,
1.352503714,-35.23477131,562.7028921,2562.702892,7.972407704,
1.374900876,-33.84091492,550.2316776,2550.231678,7.82827914,
1.414610648,-31.58613157,529.1875819,2529.187582,7.615061767,
1.471008154,-28.70240626,501.6229911,2501.622991,7.336790935,
1.52841604,-26.20658543,476.1059417,2476.105942,7.066875922,
1.583051265,-24.15232829,453.8452898,2453.84529,6.815643261,
1.590838927,-23.84834844,450.8181629,2450.818163,6.782022872,
1.64864545,-21.78237337,429.4521168,2429.452117,6.546585824,
1.757348807,-17.93636916,394.3657614,2394.365761,6.197283811,
1.82723853,-15.49045971,375.3052968,2375.305297,6.041448097,
1.894099189,-13.29792174,359.5689641,2359.568964,5.93143868,
2.000139779,-10.41885995,339.0693596,2339.06936,5.794306557,
2.104985343,-8.220956971,323.1414188,2323.141419,5.684317273,
2.209830907,-6.51563545,310.5526723,2310.552672,5.594327934,
2.314676471,-5.189028862,300.557628,2300.557628,5.520261212,
2.419522035,-4.153964544,292.5825547,2292.582555,5.458911424,
2.524367599,-3.343506816,286.1856332,2286.185633,5.407798001,
2.629213163,-2.706456154,281.0261851,2281.026185,5.364971344,
2.734058727,-2.203626674,276.8409264,2276.840926,5.328888805,
2.838904291,-1.804993722,273.4258414,2273.425841,5.298322777,
2.943749855,-1.487516939,270.6223569,2270.622357,5.272290747,
3.048595418,-1.233479612,268.3067996,2268.3068,5.250002148,
3.153440982,-1.02922513,266.3823578,2266.382358,5.230817659,
3.279013571,-0.835471081,264.4866322,2264.486632,5.211203976,
3.40500916,-0.683889,262.9378175,2262.937817,5.194535527,
3.531004749,-0.564913796,261.6656414,2261.665641,5.180314361,
3.654503011,-0.472534586,260.6302694,2260.630269,5.168314417,
3.732742378,-0.423843457,260.0627706,2260.062771,5.161550998,
3.732918796,-0.423734018,260.0615594,2260.061559,5.161536415,
3.733134249,-0.423338725,260.0600807,2260.060081,5.161519233,
3.733356593,-0.422748197,260.0585551,2260.058555,5.161502535,
3.733639418,-0.421722032,260.0566154,2260.056615,5.161483313,
3.734001662,-0.419871377,260.0541323,2260.054132,5.161463257,
3.734498099,-0.416173167,260.0507327,2260.050733,5.161447583,
3.735189677,-0.408487153,260.0460049,2260.046005,5.161458395,
3.736152489,-0.393354997,260.039448,2260.039448,5.161559981,
3.736455703,-0.387847486,260.0373915,2260.037391,5.161615915,
3.736868594,-0.379880668,260.0345994,2260.034599,5.161711704,
3.737962397,-0.356503325,260.0272602,2260.02726,5.162079726,
3.739217559,-0.326387112,260.018974,2260.018974,5.162714209,
3.740544328,-0.291703627,260.0104242,2260.010424,5.163633999,
3.741717471,-0.259149305,260.0030885,2260.003089,5.164656581,
3.743049007,-0.220373144,259.9950679,2259.995068,5.166047352,
3.74482833,-0.165777189,259.9849468,2259.984947,5.168272202,
3.748020536,-0.060607853,259.9688564,2259.968856,5.173251861,
3.750977763,0.043745275,259.9567938,2259.956794,5.178911634,
3.756321934,0.250474411,259.9434347,2259.943435,5.191463485,
3.760267075,0.432573246,259.941794,2259.941794,5.202750963,
3.764684715,0.690149539,259.9499462,2259.949946,5.218201473,
3.769908324,1.086349066,259.9765112,2259.976511,5.241747809,
3.776571883,1.753183796,260.045492,2260.045492,5.282654555,
3.784998138,2.829153439,260.2100007,2260.210001,5.354794255,
3.792660782,3.967289831,260.4583403,2260.45834,5.439832707,
3.800323427,5.174334219,260.8214415,2260.821441,5.540163636,
3.808093889,6.382065536,261.3210641,2261.321064,5.652177788,
3.817483492,7.725199804,262.1097611,2262.109761,5.792728789,
3.830710096,9.316795522,263.5538522,2263.553852,5.984900023,
3.846703713,10.87013492,265.7605054,2265.760505,6.196317458,
3.86269733,12.27012564,268.3933489,2268.393349,6.392059512,
