Time (s),Flow (L/min),Delivered Tidal Volume (mL),Lung Volume (mL),Lung Pressure (cm H2O),Pressure Premask (cm H2O)
23.520,2.974,758.809,2758.809,15.582,15.582
23.545,1.081,760.169,2760.169,15.406,15.406
23.569,0.635,760.787,2760.787,15.316,15.316
23.594,0.491,761.122,2761.122,15.285,15.285
23.619,0.440,761.352,2761.352,15.274,15.274
23.644,-13.161,761.332,2761.332,14.898,14.898
23.669,-43.116,755.364,2755.364,12.485,12.485
23.693,-49.888,740.566,2740.566,10.715,10.715
23.718,-50.386,722.175,2722.175,9.940,9.940
23.743,-49.016,702.900,2702.900,9.514,9.514
23.768,-47.030,683.850,2683.850,9.254,9.254
23.793,-45.198,665.601,2665.601,9.050,9.050
23.817,-43.436,647.808,2647.808,8.857,8.857
23.842,-41.839,631.427,2631.427,8.683,8.683
23.867,-40.241,615.045,2615.045,8.509,8.509
23.892,-38.644,598.664,2598.664,8.334,8.334
23.917,-37.176,583.889,2583.889,8.179,8.179
23.942,-35.791,570.133,2570.133,8.035,8.035
23.966,-34.405,556.376,2556.376,7.892,7.892
23.991,-33.020,542.620,2542.620,7.749,7.749
24.016,-31.634,528.864,2528.864,7.606,7.606
24.041,-30.314,515.693,2515.693,7.468,7.468
24.066,-29.155,503.970,2503.970,7.344,7.344
24.090,-27.997,492.248,2492.248,7.221,7.221
24.115,-26.985,481.435,2481.435,7.101,7.101
24.140,-26.012,470.869,2470.869,6.981,6.981
24.165,-25.040,460.303,2460.303,6.862,6.862
24.190,-24.118,450.720,2450.720,6.755,6.755
24.214,-23.203,441.273,2441.273,6.651,6.651
24.239,-22.288,431.826,2431.826,6.546,6.546
24.264,-21.375,423.507,2423.507,6.463,6.463
24.289,-20.464,415.499,2415.499,6.387,6.387
24.314,-19.552,407.491,2407.491,6.310,6.310
24.338,-18.641,399.484,2399.484,6.234,6.234
24.363,-17.729,391.476,2391.476,6.157,6.157
24.388,-16.846,384.739,2384.739,6.104,6.104
24.413,-15.967,378.219,2378.219,6.055,6.055
24.438,-15.089,371.699,2371.699,6.006,6.006
24.463,-14.264,365.685,2365.685,5.963,5.963
24.487,-13.510,360.340,2360.340,5.927,5.927
24.512,-12.756,354.995,2354.995,5.891,5.891
24.537,-12.003,349.649,2349.649,5.856,5.856
24.562,-11.369,345.115,2345.115,5.825,5.825
24.587,-10.778,340.867,2340.867,5.796,5.796
24.611,-10.188,336.618,2336.618,5.767,5.767
24.636,-9.597,332.370,2332.370,5.738,5.738
24.661,-9.054,328.443,2328.443,5.711,5.711
24.686,-8.600,325.123,2325.123,5.688,5.688
24.711,-8.147,321.802,2321.802,5.665,5.665
24.735,-7.694,318.481,2318.481,5.641,5.641
24.760,-7.241,315.161,2315.161,5.618,5.618
24.785,-6.887,312.521,2312.521,5.598,5.598
24.810,-6.539,309.913,2309.913,5.579,5.579
24.835,-6.190,307.305,2307.305,5.560,5.560
24.859,-5.841,304.697,2304.697,5.541,5.541
24.884,-5.537,302.398,2302.398,5.524,5.524
24.909,-5.268,300.340,2300.340,5.508,5.508
24.934,-4.999,298.281,2298.281,5.493,5.493
24.959,-4.730,296.222,2296.222,5.477,5.477
24.984,-4.471,294.236,2294.236,5.462,5.462
25.008,-4.262,292.601,2292.601,5.449,5.449
25.033,-4.054,290.967,2290.967,5.436,5.436
25.058,-3.845,289.333,2289.333,5.423,5.423
25.083,-3.637,287.698,2287.698,5.410,5.410
25.108,-3.465,286.320,2286.320,5.399,5.399
25.132,-3.302,285.015,2285.015,5.388,5.388
25.157,-3.140,283.710,2283.710,5.378,5.378
25.182,-2.978,282.404,2282.404,5.367,5.367
25.207,-2.830,281.198,2281.198,5.357,5.357
25.232,-2.703,280.149,2280.149,5.348,5.348
25.256,-2.576,279.100,2279.100,5.339,5.339
25.281,-2.450,278.052,2278.052,5.330,5.330
25.306,-2.323,277.003,2277.003,5.321,5.321
25.331,-2.224,276.153,2276.153,5.313,5.313
25.356,-2.124,275.305,2275.305,5.306,5.306
25.380,-2.025,274.457,2274.457,5.298,5.298
25.405,-1.925,273.609,2273.609,5.291,5.291
25.430,-1.839,272.856,2272.856,5.284,5.284
25.455,-1.760,272.165,2272.165,5.277,5.277
25.480,-1.682,271.475,2271.475,5.271,5.271
25.505,-1.603,270.785,2270.785,5.265,5.265
25.529,-1.528,270.120,2270.120,5.258,5.258
25.554,-1.466,269.555,2269.555,5.253,5.253
25.579,-1.404,268.989,2268.989,5.248,5.248
25.604,-1.342,268.424,2268.424,5.242,5.242
25.629,-1.279,267.858,2267.858,5.237,5.237
25.653,-1.228,267.373,2267.373,5.232,5.232
25.678,-1.178,266.907,2266.907,5.227,5.227
25.703,-1.128,266.440,2266.440,5.223,5.223
25.728,-1.079,265.974,2265.974,5.218,5.218
25.753,-1.034,265.542,2265.542,5.214,5.214
25.777,-0.994,265.158,2265.158,5.210,5.210
25.802,-0.955,264.774,2264.774,5.206,5.206
25.827,-0.915,264.389,2264.389,5.202,5.202
25.852,-0.876,264.005,2264.005,5.198,5.198
25.877,-0.842,263.666,2263.666,5.194,5.194
25.901,-0.811,263.353,2263.353,5.191,5.191
25.926,-0.781,263.039,2263.039,5.187,5.187
25.951,-0.750,262.726,2262.726,5.184,5.184
25.976,-0.719,262.413,2262.413,5.181,5.181
26.001,-0.691,262.120,2262.120,5.178,5.178
26.026,-0.667,261.865,2261.865,5.175,5.175
26.050,-0.643,261.610,2261.610,5.172,5.172
26.075,-0.619,261.355,2261.355,5.169,5.169
26.100,-0.595,261.099,2261.099,5.166,5.166
26.125,-0.571,260.846,2260.846,5.163,5.163
26.150,-0.034,260.647,2260.647,5.184,5.184
26.174,1.709,260.701,2260.701,5.289,5.289
26.199,5.327,261.522,2261.522,5.566,5.566
26.224,8.681,263.661,2263.661,5.925,5.925
26.249,11.036,266.997,2266.997,6.244,6.244
26.274,13.173,271.407,2271.407,6.538,6.538
26.298,15.438,276.658,2276.658,6.850,6.850
26.323,17.782,282.732,2282.732,7.184,7.184
26.348,20.111,290.178,2290.178,7.548,7.548
26.373,22.441,297.623,2297.623,7.913,7.913
26.398,24.765,306.949,2306.949,8.314,8.314
26.422,27.090,316.420,2316.420,8.717,8.717
26.447,29.491,327.210,2327.210,9.155,9.155
26.472,31.919,338.551,2338.551,9.605,9.605
26.497,34.316,351.205,2351.205,10.087,10.087
26.522,36.545,364.725,2364.725,10.574,10.574
26.547,38.941,379.744,2379.744,11.098,11.098
26.571,41.345,395.503,2395.503,11.642,11.642
26.596,43.749,411.263,2411.263,12.185,12.185
26.621,46.103,428.183,2428.183,12.750,12.750
26.646,48.467,446.389,2446.389,13.335,13.335
26.671,50.864,465.859,2465.859,13.950,13.950
26.695,53.261,485.575,2485.575,14.571,14.571
26.720,53.434,506.518,2506.518,15.116,15.116
26.745,51.389,527.447,2527.447,15.432,15.432
26.770,49.010,547.696,2547.696,15.643,15.643
26.795,46.627,567.071,2567.071,15.813,15.813
26.819,44.263,585.051,2585.051,15.951,15.951
26.844,41.910,602.210,2602.210,16.071,16.071
26.869,39.557,619.369,2619.369,16.191,16.191
26.894,37.184,635.679,2635.679,16.292,16.292
26.919,34.797,650.397,2650.397,16.361,16.361
26.944,32.446,663.964,2663.964,16.411,16.411
26.968,30.101,677.381,2677.381,16.458,16.458
26.993,27.811,689.338,2689.338,16.482,16.482
27.018,25.446,700.274,2700.274,16.484,16.484
27.043,23.050,710.533,2710.533,16.470,16.470
27.068,20.621,719.550,2719.550,16.428,16.428
27.092,18.200,727.934,2727.934,16.373,16.373
27.117,15.793,735.032,2735.032,16.292,16.292
27.142,13.404,741.648,2741.648,16.203,16.203
27.167,11.076,746.637,2746.637,16.086,16.086
27.192,8.747,751.626,2751.626,15.970,15.970
27.216,6.419,755.323,2755.323,15.830,15.830
27.241,4.021,757.939,2757.939,15.663,15.663
27.266,1.739,759.693,2759.693,15.482,15.482
27.291,0.772,760.558,2760.558,15.346,15.346
27.316,0.536,760.988,2760.988,15.295,15.295
27.340,0.458,761.254,2761.254,15.277,15.277
27.365,0.422,761.456,2761.456,15.272,15.272
27.390,-31.259,759.244,2759.244,13.671,13.671
27.415,-48.803,747.999,2747.999,11.318,11.318
27.440,-50.323,730.664,2730.664,10.235,10.235
27.465,-49.824,711.617,2711.617,9.677,9.677
27.489,-47.922,692.378,2692.378,9.359,9.359
27.514,-45.996,673.692,2673.692,9.139,9.139
27.539,-44.240,655.944,2655.944,8.945,8.945
27.564,-42.549,638.562,2638.562,8.758,8.758
27.589,-40.912,621.811,2621.811,8.580,8.580
27.613,-39.412,606.660,2606.660,8.420,8.420
27.638,-37.912,591.509,2591.509,8.261,8.261
27.663,-36.412,576.359,2576.359,8.101,8.101
27.688,-34.912,561.208,2561.208,7.942,7.942
27.713,-33.533,547.477,2547.477,7.798,7.798
27.737,-32.240,534.752,2534.752,7.666,7.666
27.762,-30.948,522.027,2522.027,7.535,7.535
27.787,-29.655,509.302,2509.302,7.403,7.403
27.812,-28.506,497.508,2497.508,7.276,7.276
27.837,-27.456,486.357,2486.357,7.154,7.154
27.861,-26.411,475.247,2475.247,7.032,7.032
27.886,-25.475,465.151,2465.151,6.918,6.918
27.911,-24.539,455.055,2455.055,6.803,6.803
27.936,-23.610,445.277,2445.277,6.694,6.694
27.961,-22.699,436.379,2436.379,6.599,6.599
27.986,-21.787,427.481,2427.481,6.505,6.505
28.010,-20.876,418.583,2418.583,6.411,6.411
28.035,-19.966,410.338,2410.338,6.329,6.329
28.060,-19.059,402.927,2402.927,6.264,6.264
28.085,-18.152,395.516,2395.516,6.199,6.199
28.110,-17.245,388.105,2388.105,6.135,6.135
28.134,-16.337,380.694,2380.694,6.070,6.070
28.159,-15.487,374.545,2374.545,6.026,6.026
28.184,-14.639,368.444,2368.444,5.983,5.983
28.209,-13.791,362.343,2362.343,5.940,5.940
28.234,-13.092,357.365,2357.365,5.907,5.907
28.258,-12.393,352.395,2352.395,5.874,5.874
28.283,-11.694,347.425,2347.425,5.841,5.841
28.308,-10.996,342.454,2342.454,5.807,5.807
28.333,-10.409,338.231,2338.231,5.779,5.779
28.358,-9.867,334.315,2334.315,5.752,5.752
28.382,-9.326,330.399,2330.399,5.725,5.725
28.407,-8.785,326.483,2326.483,5.698,5.698
28.432,-8.315,323.049,2323.049,5.674,5.674
28.457,-7.892,319.935,2319.935,5.651,5.651
28.482,-7.469,316.821,2316.821,5.629,5.629
28.507,-7.046,313.707,2313.707,5.607,5.607
28.531,-6.668,310.902,2310.902,5.587,5.587
28.556,-6.337,308.415,2308.415,5.569,5.569
28.581,-6.006,305.928,2305.928,5.550,5.550
28.606,-5.675,303.441,2303.441,5.532,5.532
28.631,-5.371,301.144,2301.144,5.515,5.515
28.655,-5.111,299.148,2299.148,5.499,5.499
28.680,-4.851,297.153,2297.153,5.484,5.484
28.705,-4.591,295.158,2295.158,5.469,5.469
28.730,-4.347,293.270,2293.270,5.454,5.454
28.755,-4.142,291.661,2291.661,5.442,5.442
28.779,-3.937,290.052,2290.052,5.429,5.429
28.804,-3.732,288.444,2288.444,5.416,5.416
28.829,-3.535,286.886,2286.886,5.404,5.404
28.854,-3.373,285.583,2285.583,5.393,5.393
28.879,-3.211,284.279,2284.279,5.382,5.382
28.903,-3.049,282.975,2282.975,5.372,5.372
28.928,-2.889,281.686,2281.686,5.361,5.361
28.953,-2.760,280.623,2280.623,5.352,5.352
28.978,-2.632,279.561,2279.561,5.343,5.343
29.003,-2.503,278.499,2278.499,5.334,5.334
29.028,-2.375,277.436,2277.436,5.325,5.325
29.052,-2.271,276.557,2276.557,5.317,5.317
29.077,-2.169,275.686,2275.686,5.309,5.309
29.102,-2.066,274.815,2274.815,5.301,5.301
29.127,-1.964,273.945,2273.945,5.294,5.294
29.152,-1.879,273.204,2273.204,5.287,5.287
29.176,-1.797,272.486,2272.486,5.280,5.280
29.201,-1.715,271.769,2271.769,5.274,5.274
29.226,-1.633,271.051,2271.051,5.267,5.267
29.251,-1.563,270.425,2270.425,5.261,5.261
29.276,-1.497,269.830,2269.830,5.256,5.256
29.300,-1.431,269.235,2269.235,5.250,5.250
29.325,-1.365,268.641,2268.641,5.244,5.244
29.350,-1.307,268.108,2268.108,5.239,5.239
29.375,-1.254,267.613,2267.613,5.234,5.234
29.400,-1.200,267.117,2267.117,5.229,5.229
29.424,-1.147,266.621,2266.621,5.224,5.224
29.449,-1.099,266.171,2266.171,5.220,5.220
29.474,-1.057,265.762,2265.762,5.216,5.216
29.499,-1.015,265.352,2265.352,5.212,5.212
29.524,-0.972,264.943,2264.943,5.207,5.207
29.549,-0.930,264.534,2264.534,5.203,5.203
29.573,-0.893,264.172,2264.172,5.199,5.199
29.598,-0.860,263.838,2263.838,5.196,5.196
29.623,-0.827,263.504,2263.504,5.192,5.192
29.648,-0.793,263.169,2263.169,5.189,5.189
29.673,-0.760,262.835,2262.835,5.185,5.185
29.697,-0.732,262.543,2262.543,5.182,5.182
29.722,-0.705,262.267,2262.267,5.179,5.179
29.747,-0.679,261.992,2261.992,5.176,5.176
29.772,-0.653,261.717,2261.717,5.173,5.173
29.797,-0.626,261.442,2261.442,5.170,5.170
29.821,-0.603,261.195,2261.195,5.167,5.167
29.846,-0.581,260.956,2260.956,5.165,5.165
29.871,-0.391,260.723,2260.723,5.166,5.166
29.896,0.646,260.621,2260.621,5.225,5.225
29.921,3.580,261.015,2261.015,5.420,5.420
29.945,7.310,262.528,2262.528,5.764,5.764
29.970,10.045,265.378,2265.378,6.106,6.106
29.995,12.182,269.251,2269.251,6.404,6.404
